,file,file_idx,frame
454,2500_B_BF.tiff,13,125
455,2500_B_BF.tiff,13,130
456,2500_B_BF.tiff,13,135
457,2500_B_BF.tiff,13,140
458,2500_B_BF.tiff,13,145
459,2500_B_BF.tiff,13,150
460,2500_B_BF.tiff,13,155
461,2500_B_BF.tiff,13,160
462,2500_C_BF.tiff,14,0
463,2500_C_BF.tiff,14,5
464,2500_C_BF.tiff,14,10
465,2500_C_BF.tiff,14,15
466,2500_C_BF.tiff,14,20
467,2500_C_BF.tiff,14,25
468,2500_C_BF.tiff,14,30
469,2500_C_BF.tiff,14,35
470,2500_C_BF.tiff,14,40
471,2500_C_BF.tiff,14,45
472,2500_C_BF.tiff,14,50
473,2500_C_BF.tiff,14,55
474,2500_C_BF.tiff,14,60
475,2500_C_BF.tiff,14,65
476,2500_C_BF.tiff,14,70
477,2500_C_BF.tiff,14,75
478,2500_C_BF.tiff,14,80
479,2500_C_BF.tiff,14,85
480,2500_C_BF.tiff,14,90
481,2500_C_BF.tiff,14,95
482,2500_C_BF.tiff,14,100
483,2500_C_BF.tiff,14,105
484,2500_C_BF.tiff,14,110
485,2500_C_BF.tiff,14,115
486,2500_C_BF.tiff,14,120
487,2500_C_BF.tiff,14,125
488,2500_C_BF.tiff,14,130
489,2500_C_BF.tiff,14,135
490,2500_C_BF.tiff,14,140
491,2500_C_BF.tiff,14,145
492,2500_C_BF.tiff,14,150
493,2500_C_BF.tiff,14,155
494,2500_C_BF.tiff,14,160
495,40000_A_BF.tiff,15,0
496,40000_A_BF.tiff,15,5
497,40000_A_BF.tiff,15,10
498,40000_A_BF.tiff,15,15
499,40000_A_BF.tiff,15,20
500,40000_A_BF.tiff,15,25
501,40000_A_BF.tiff,15,30
502,40000_A_BF.tiff,15,35
503,40000_A_BF.tiff,15,40
504,40000_A_BF.tiff,15,45
505,40000_A_BF.tiff,15,50
506,40000_A_BF.tiff,15,55
507,40000_A_BF.tiff,15,60
508,40000_A_BF.tiff,15,65
509,40000_A_BF.tiff,15,70
510,40000_A_BF.tiff,15,75
511,40000_A_BF.tiff,15,80
512,40000_A_BF.tiff,15,85
513,40000_A_BF.tiff,15,90
514,40000_A_BF.tiff,15,95
515,40000_A_BF.tiff,15,100
516,40000_A_BF.tiff,15,105
517,40000_A_BF.tiff,15,110
518,40000_A_BF.tiff,15,115
519,40000_A_BF.tiff,15,120
520,40000_A_BF.tiff,15,125
521,40000_A_BF.tiff,15,130
522,40000_A_BF.tiff,15,135
523,40000_A_BF.tiff,15,140
524,40000_A_BF.tiff,15,145
525,40000_A_BF.tiff,15,150
526,40000_A_BF.tiff,15,155
527,40000_A_BF.tiff,15,160
528,40000_B_BF.tiff,16,0
529,40000_B_BF.tiff,16,5
530,40000_B_BF.tiff,16,10
531,40000_B_BF.tiff,16,15
532,40000_B_BF.tiff,16,20
533,40000_B_BF.tiff,16,25
534,40000_B_BF.tiff,16,30
535,40000_B_BF.tiff,16,35
536,40000_B_BF.tiff,16,40
537,40000_B_BF.tiff,16,45
538,40000_B_BF.tiff,16,50
539,40000_B_BF.tiff,16,55
540,40000_B_BF.tiff,16,60
541,40000_B_BF.tiff,16,65
542,40000_B_BF.tiff,16,70
543,40000_B_BF.tiff,16,75
544,40000_B_BF.tiff,16,80
545,40000_B_BF.tiff,16,85
546,40000_B_BF.tiff,16,90
547,40000_B_BF.tiff,16,95
548,40000_B_BF.tiff,16,100
549,40000_B_BF.tiff,16,105
550,40000_B_BF.tiff,16,110
551,40000_B_BF.tiff,16,115
552,40000_B_BF.tiff,16,120
553,40000_B_BF.tiff,16,125
554,40000_B_BF.tiff,16,130
