,cell,X_coord,step,time,expression,alpha,k_s,p_s,delta,lambda,tau,run
904,cell_015,2,82,3.2800000000000002,0.0018810592712231347,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
905,cell_035,3,82,3.2800000000000002,1.0721878459258711e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
906,cell_057,4,82,3.2800000000000002,9.62621824910699e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
907,cell_086,5,82,3.2800000000000002,9.62621804259177e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
908,cell_126,6,82,3.2800000000000002,9.626218042591754e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
909,cell_181,7,82,3.2800000000000002,9.626218042591754e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
910,cell_240,8,82,3.2800000000000002,9.626218042591754e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
911,cell_296,9,82,3.2800000000000002,9.626218042546317e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
912,cell_351,10,82,3.2800000000000002,9.626192755039664e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
913,cell_000,0,83,3.3200000000000003,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
914,cell_003,1,83,3.3200000000000003,0.14187036651710905,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
915,cell_015,2,83,3.3200000000000003,0.0019224125947802755,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
916,cell_035,3,83,3.3200000000000003,1.0815417421776016e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
917,cell_057,4,83,3.3200000000000003,9.640905033948615e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
918,cell_086,5,83,3.3200000000000003,9.640904803483554e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
919,cell_126,6,83,3.3200000000000003,9.640904803483533e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
920,cell_181,7,83,3.3200000000000003,9.640904803483533e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
921,cell_240,8,83,3.3200000000000003,9.640904803483533e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
922,cell_296,9,83,3.3200000000000003,9.64090480343652e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
923,cell_351,10,83,3.3200000000000003,9.640879193200039e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
924,cell_000,0,84,3.36,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
925,cell_003,1,84,3.36,0.1424657173459728,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
926,cell_015,2,84,3.36,0.0019637360389971785,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
927,cell_035,3,84,3.36,1.0912083146394022e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
928,cell_057,4,84,3.36,9.655014820905675e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
929,cell_086,5,84,3.36,9.655014564404591e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
930,cell_126,6,84,3.36,9.655014564404566e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
931,cell_181,7,84,3.36,9.655014564404566e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
