,filename,p0,J,v0,f,dt,a,k
194,data/2020-08-19_avm_phase_sims/p03.40_J-0.16_v03.16e+00,3.4000000000000004,-0.16,3.1622776601683795,200,0.05,0.4,2
195,data/2020-08-19_avm_phase_sims/p03.50_J-0.00_v03.16e+00,3.5,-0.0,3.1622776601683795,200,0.05,0.4,2
196,data/2020-08-19_avm_phase_sims/p03.50_J-0.04_v03.16e+00,3.5,-0.04,3.1622776601683795,200,0.05,0.4,2
197,data/2020-08-19_avm_phase_sims/p03.50_J-0.08_v03.16e+00,3.5,-0.08,3.1622776601683795,200,0.05,0.4,2
198,data/2020-08-19_avm_phase_sims/p03.50_J-0.12_v03.16e+00,3.5,-0.12,3.1622776601683795,200,0.05,0.4,2
199,data/2020-08-19_avm_phase_sims/p03.50_J-0.16_v03.16e+00,3.5,-0.16,3.1622776601683795,200,0.05,0.4,2
200,data/2020-08-19_avm_phase_sims/p03.60_J-0.00_v03.16e+00,3.6,-0.0,3.1622776601683795,200,0.05,0.4,2
201,data/2020-08-19_avm_phase_sims/p03.60_J-0.04_v03.16e+00,3.6,-0.04,3.1622776601683795,200,0.05,0.4,2
202,data/2020-08-19_avm_phase_sims/p03.60_J-0.08_v03.16e+00,3.6,-0.08,3.1622776601683795,200,0.05,0.4,2
203,data/2020-08-19_avm_phase_sims/p03.60_J-0.12_v03.16e+00,3.6,-0.12,3.1622776601683795,200,0.05,0.4,2
