,D_eff_n_c,data_fname,D_eff,p0,v0,replicate,f,t0,tmax,dt,n_t,a,k,J,L
93,7,p03.62_v03.00e-02_rep0.npy,0.06797950135336983,3.62,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
94,19,p03.62_v03.00e-02_rep0.npy,0.04997875955369737,3.62,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
95,37,p03.62_v03.00e-02_rep0.npy,0.04897266957494948,3.62,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
96,7,p03.66_v02.00e-03_rep0.npy,0.026653817621991042,3.66,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
97,19,p03.66_v02.00e-03_rep0.npy,0.051682017510756864,3.66,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
98,37,p03.66_v02.00e-03_rep0.npy,0.06529554957523942,3.66,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
99,7,p03.66_v06.00e-03_rep0.npy,0.014740022985885544,3.66,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
100,19,p03.66_v06.00e-03_rep0.npy,0.0287875584844086,3.66,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
101,37,p03.66_v06.00e-03_rep0.npy,0.031258776370022036,3.66,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
102,7,p03.66_v01.40e-02_rep0.npy,0.016031123469678728,3.66,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
103,19,p03.66_v01.40e-02_rep0.npy,0.026691600452272268,3.66,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
104,37,p03.66_v01.40e-02_rep0.npy,0.04240098048229608,3.66,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
105,7,p03.66_v01.00e-02_rep0.npy,0.014114131219685081,3.66,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
106,19,p03.66_v01.00e-02_rep0.npy,0.02494272962212564,3.66,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
107,37,p03.66_v01.00e-02_rep0.npy,0.029995612800121318,3.66,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
108,7,p03.66_v01.80e-02_rep0.npy,0.035565466056635374,3.66,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
109,19,p03.66_v01.80e-02_rep0.npy,0.03770447715565012,3.66,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
110,37,p03.66_v01.80e-02_rep0.npy,0.05124834032706275,3.66,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
111,7,p03.66_v03.00e-02_rep0.npy,0.07896776994069417,3.66,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
112,19,p03.66_v03.00e-02_rep0.npy,0.07285137308968437,3.66,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
113,37,p03.66_v03.00e-02_rep0.npy,0.0598355597919888,3.66,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
114,7,p03.66_v02.20e-02_rep0.npy,0.06498070664642272,3.66,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
115,19,p03.66_v02.20e-02_rep0.npy,0.05788284022946004,3.66,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
116,37,p03.66_v02.20e-02_rep0.npy,0.05917967227864857,3.66,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
117,7,p03.66_v02.60e-02_rep0.npy,0.05811202014691734,3.66,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
118,19,p03.66_v02.60e-02_rep0.npy,0.058484747565004276,3.66,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
119,37,p03.66_v02.60e-02_rep0.npy,0.06009004348833887,3.66,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
120,7,p03.70_v02.00e-03_rep0.npy,0.0881828833371401,3.7,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
121,19,p03.70_v02.00e-03_rep0.npy,0.09243066888302563,3.7,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
122,37,p03.70_v02.00e-03_rep0.npy,0.0761001545470208,3.7,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
123,7,p03.70_v06.00e-03_rep0.npy,0.03221404686984089,3.7,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
124,19,p03.70_v06.00e-03_rep0.npy,0.033430561112860836,3.7,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
125,37,p03.70_v06.00e-03_rep0.npy,0.025557092804875642,3.7,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
126,7,p03.70_v01.00e-02_rep0.npy,0.051465749740600614,3.7,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
127,19,p03.70_v01.00e-02_rep0.npy,0.039743348956108114,3.7,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
128,37,p03.70_v01.00e-02_rep0.npy,0.03637901693582536,3.7,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10
129,7,p03.70_v01.40e-02_rep0.npy,0.07025881537369323,3.7,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
130,19,p03.70_v01.40e-02_rep0.npy,0.05913981977774175,3.7,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
131,37,p03.70_v01.40e-02_rep0.npy,0.056534640643061435,3.7,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
132,7,p03.70_v01.80e-02_rep0.npy,0.09466571572386193,3.7,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
133,19,p03.70_v01.80e-02_rep0.npy,0.06947165562046903,3.7,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
134,37,p03.70_v01.80e-02_rep0.npy,0.0723877944696097,3.7,0.018,0,200,0,4,0.025,32001,0.4,2,0.0,10
135,7,p03.70_v03.00e-02_rep0.npy,0.06809351841608684,3.7,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
136,19,p03.70_v03.00e-02_rep0.npy,0.06228176752726236,3.7,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
137,37,p03.70_v03.00e-02_rep0.npy,0.06692908869849311,3.7,0.03,0,200,0,4,0.025,32001,0.4,2,0.0,10
138,7,p03.70_v02.60e-02_rep0.npy,0.13434320864592791,3.7,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
139,19,p03.70_v02.60e-02_rep0.npy,0.12292662668510307,3.7,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
140,37,p03.70_v02.60e-02_rep0.npy,0.09187828506943747,3.7,0.026,0,200,0,4,0.025,32001,0.4,2,0.0,10
141,7,p03.70_v02.20e-02_rep0.npy,0.10447686861369238,3.7,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
142,19,p03.70_v02.20e-02_rep0.npy,0.07702727948338534,3.7,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
143,37,p03.70_v02.20e-02_rep0.npy,0.088022476878048,3.7,0.022,0,200,0,4,0.025,32001,0.4,2,0.0,10
144,7,p03.74_v02.00e-03_rep0.npy,0.11016831267625096,3.74,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
145,19,p03.74_v02.00e-03_rep0.npy,0.14088238822296265,3.74,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
146,37,p03.74_v02.00e-03_rep0.npy,0.13553691096603873,3.74,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10
147,7,p03.74_v06.00e-03_rep0.npy,0.05126412337025007,3.74,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
148,19,p03.74_v06.00e-03_rep0.npy,0.04203051276918915,3.74,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
149,37,p03.74_v06.00e-03_rep0.npy,0.0471562043660217,3.74,0.006,0,200,0,4,0.025,32001,0.4,2,0.0,10
150,7,p03.74_v01.40e-02_rep0.npy,0.04276651128822445,3.74,0.014,0,200,0,4,0.025,32001,0.4,2,0.0,10
