,filename,p0,J,v0,f,dt,a,k,L,Dr,D_eff
98,p03.30_J-0.12_v03.16e-01.npy,3.3000000000000003,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.776559331567427e-08
99,p03.30_J-0.16_v03.16e-01.npy,3.3000000000000003,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.3505759383729005e-08
100,p03.40_J-0.00_v03.16e-01.npy,3.4000000000000004,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01,8.554863701868143e-13
101,p03.40_J-0.04_v03.16e-01.npy,3.4000000000000004,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.2798292034920672e-11
102,p03.40_J-0.08_v03.16e-01.npy,3.4000000000000004,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.0089086492421751e-08
103,p03.40_J-0.12_v03.16e-01.npy,3.4000000000000004,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.2152656093626257e-08
104,p03.40_J-0.16_v03.16e-01.npy,3.4000000000000004,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.6148431383515212e-08
105,p03.50_J-0.00_v03.16e-01.npy,3.5,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01,8.216730157621975e-13
106,p03.50_J-0.04_v03.16e-01.npy,3.5,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.1127463773402352e-09
107,p03.50_J-0.08_v03.16e-01.npy,3.5,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.0159880464862684e-08
108,p03.50_J-0.12_v03.16e-01.npy,3.5,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.6260154544841526e-08
109,p03.50_J-0.16_v03.16e-01.npy,3.5,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.7714421708735364e-08
110,p03.60_J-0.00_v03.16e-01.npy,3.6,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01,3.211808876744375e-11
111,p03.60_J-0.04_v03.16e-01.npy,3.6,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.0441839005841171e-09
112,p03.60_J-0.08_v03.16e-01.npy,3.6,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.3019148912007238e-08
113,p03.60_J-0.12_v03.16e-01.npy,3.6,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.995261181414809e-08
114,p03.60_J-0.16_v03.16e-01.npy,3.6,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.3159020603109123e-08
115,p03.70_J-0.00_v03.16e-01.npy,3.7,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.352370889915033e-11
116,p03.70_J-0.04_v03.16e-01.npy,3.7,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01,3.590357168772304e-09
117,p03.70_J-0.08_v03.16e-01.npy,3.7,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.7197718732648026e-08
118,p03.70_J-0.12_v03.16e-01.npy,3.7,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.6890119876006893e-08
119,p03.70_J-0.16_v03.16e-01.npy,3.7,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.568123293134557e-08
120,p03.80_J-0.00_v03.16e-01.npy,3.8,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.6724924352659105e-11
121,p03.80_J-0.04_v03.16e-01.npy,3.8,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01,6.597892588864608e-09
122,p03.80_J-0.08_v03.16e-01.npy,3.8,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.4753023107888794e-08
123,p03.80_J-0.12_v03.16e-01.npy,3.8,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.0425850566823247e-08
124,p03.80_J-0.16_v03.16e-01.npy,3.8,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.0239837586406646e-08
125,p03.90_J-0.00_v03.16e-01.npy,3.9,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01,5.243129576118981e-11
126,p03.90_J-0.04_v03.16e-01.npy,3.9,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.2646993319173653e-08
127,p03.90_J-0.08_v03.16e-01.npy,3.9,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.730811453619552e-08
128,p03.90_J-0.12_v03.16e-01.npy,3.9,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.835641127274592e-08
129,p03.90_J-0.16_v03.16e-01.npy,3.9,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.8887158952856886e-08
130,p04.00_J-0.00_v03.16e-01.npy,4.0,-0.0,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.2146286245331403e-09
131,p04.00_J-0.04_v03.16e-01.npy,4.0,-0.04,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.2195821062012557e-08
132,p04.00_J-0.08_v03.16e-01.npy,4.0,-0.08,0.31622776601683794,200,0.05,0.4,2,10,0.01,1.8794486972810506e-08
133,p04.00_J-0.12_v03.16e-01.npy,4.0,-0.12,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.284488948566691e-08
134,p04.00_J-0.16_v03.16e-01.npy,4.0,-0.16,0.31622776601683794,200,0.05,0.4,2,10,0.01,2.1364946498266495e-08
135,p03.20_J-0.00_v01.00e+00.npy,3.2,-0.0,1.0,200,0.05,0.4,2,10,0.01,1.459710610516285e-13
136,p03.20_J-0.04_v01.00e+00.npy,3.2,-0.04,1.0,200,0.05,0.4,2,10,0.01,2.0219612014300372e-12
137,p03.20_J-0.08_v01.00e+00.npy,3.2,-0.08,1.0,200,0.05,0.4,2,10,0.01,4.029932576979289e-10
138,p03.20_J-0.12_v01.00e+00.npy,3.2,-0.12,1.0,200,0.05,0.4,2,10,0.01,1.7422700284399185e-09
139,p03.20_J-0.16_v01.00e+00.npy,3.2,-0.16,1.0,200,0.05,0.4,2,10,0.01,1.998270729855965e-09
140,p03.30_J-0.00_v01.00e+00.npy,3.3000000000000003,-0.0,1.0,200,0.05,0.4,2,10,0.01,1.686983894023379e-11
141,p03.30_J-0.04_v01.00e+00.npy,3.3000000000000003,-0.04,1.0,200,0.05,0.4,2,10,0.01,1.181877041770461e-11
142,p03.30_J-0.08_v01.00e+00.npy,3.3000000000000003,-0.08,1.0,200,0.05,0.4,2,10,0.01,5.340950167646229e-10
143,p03.30_J-0.12_v01.00e+00.npy,3.3000000000000003,-0.12,1.0,200,0.05,0.4,2,10,0.01,1.9220049459780313e-09
144,p03.30_J-0.16_v01.00e+00.npy,3.3000000000000003,-0.16,1.0,200,0.05,0.4,2,10,0.01,1.2933886816304784e-09
145,p03.40_J-0.00_v01.00e+00.npy,3.4000000000000004,-0.0,1.0,200,0.05,0.4,2,10,0.01,1.6907118617069063e-11
146,p03.40_J-0.04_v01.00e+00.npy,3.4000000000000004,-0.04,1.0,200,0.05,0.4,2,10,0.01,1.0144848321335113e-11
147,p03.40_J-0.08_v01.00e+00.npy,3.4000000000000004,-0.08,1.0,200,0.05,0.4,2,10,0.01,8.117473912934915e-10
