.,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,BFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP,GFP
.,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d,1d,1d,2d,2d,3d,3d,4d,4d,5d,5d
Distance (um),unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized,unnormalized,normalized
298.18,89.91,0.87,97.28,0.84,110.08,0.88,122.29,0.93,128.19,0.98,9.91,0.76,13.74,0.50,12.29,0.34,9.26,0.13,6.92,0.09
301.95,90.63,0.88,96.45,0.83,115.85,0.93,119.89,0.91,121.48,0.92,9.66,0.73,14.70,0.54,11.57,0.31,9.10,0.12,6.72,0.09
305.73,89.98,0.87,101.51,0.88,119.83,0.96,119.06,0.90,122.04,0.93,9.18,0.69,14.53,0.53,11.03,0.29,9.38,0.13,6.95,0.09
309.50,87.63,0.85,105.06,0.91,124.03,1.00,120.20,0.91,124.81,0.95,8.82,0.65,14.50,0.53,10.58,0.27,9.18,0.12,7.09,0.10
313.28,86.72,0.84,113.01,0.98,120.42,0.97,121.84,0.92,126.31,0.96,8.49,0.62,13.46,0.48,10.55,0.27,9.51,0.13,6.96,0.09
317.05,87.83,0.85,115.51,1.00,118.54,0.95,126.18,0.96,128.21,0.98,8.37,0.61,12.89,0.46,9.71,0.24,9.57,0.13,7.06,0.10
320.82,89.85,0.87,108.78,0.94,112.96,0.91,126.91,0.97,127.93,0.98,9.14,0.68,12.37,0.44,8.74,0.20,9.76,0.14,7.30,0.10
324.60,87.40,0.85,101.60,0.88,112.97,0.91,125.38,0.95,125.96,0.96,9.03,0.67,11.71,0.41,7.77,0.16,9.99,0.14,7.52,0.11
328.37,85.40,0.83,102.79,0.89,111.94,0.90,125.93,0.96,125.68,0.96,9.06,0.68,12.25,0.43,7.30,0.14,9.70,0.14,7.47,0.11
332.15,84.44,0.82,105.89,0.92,112.31,0.90,126.32,0.96,124.12,0.94,8.82,0.65,12.82,0.46,8.01,0.17,9.36,0.13,6.49,0.08
335.92,83.42,0.81,102.68,0.89,106.67,0.85,127.82,0.97,120.36,0.91,8.79,0.65,12.09,0.42,9.46,0.23,9.72,0.14,5.55,0.06
339.70,85.04,0.82,99.91,0.86,101.74,0.81,122.75,0.93,121.41,0.92,8.18,0.59,11.17,0.38,9.42,0.23,9.20,0.12,5.46,0.06
343.47,85.81,0.83,93.58,0.81,100.36,0.80,118.52,0.90,118.60,0.90,7.50,0.53,10.39,0.35,9.27,0.22,8.52,0.11,5.11,0.05
347.25,81.73,0.79,88.75,0.77,102.78,0.82,120.68,0.91,114.17,0.86,6.54,0.43,10.91,0.37,9.55,0.23,7.32,0.08,5.05,0.05
351.02,82.22,0.80,88.57,0.76,105.16,0.84,122.71,0.93,116.83,0.88,6.50,0.43,11.58,0.40,9.00,0.21,6.27,0.05,5.32,0.05
354.79,86.82,0.84,89.06,0.77,107.67,0.86,116.48,0.88,114.67,0.86,6.53,0.43,11.19,0.38,8.78,0.20,5.52,0.03,5.56,0.06
358.57,87.41,0.85,92.67,0.80,110.36,0.89,111.74,0.84,116.87,0.88,6.46,0.43,12.04,0.42,8.70,0.20,5.43,0.03,5.85,0.07
362.34,85.61,0.83,95.91,0.83,114.00,0.92,110.46,0.83,117.80,0.89,6.63,0.44,12.28,0.43,8.62,0.20,6.01,0.04,6.06,0.07
366.12,85.99,0.83,101.79,0.88,108.91,0.87,111.30,0.84,116.66,0.88,6.85,0.46,11.52,0.40,8.95,0.21,6.32,0.05,6.28,0.08
369.89,86.86,0.84,107.41,0.93,113.05,0.91,117.75,0.89,122.98,0.93,7.76,0.55,10.66,0.36,9.39,0.23,7.08,0.07,5.84,0.07
373.67,90.86,0.88,104.26,0.90,111.28,0.89,121.77,0.92,126.06,0.96,8.20,0.59,9.78,0.32,8.96,0.21,7.76,0.09,5.70,0.06
377.44,92.10,0.89,99.04,0.86,112.20,0.90,117.91,0.89,123.24,0.94,8.29,0.60,9.77,0.32,8.49,0.19,7.69,0.09,5.73,0.06
381.22,93.34,0.90,99.08,0.86,112.91,0.91,112.92,0.85,122.36,0.93,7.53,0.53,9.96,0.33,8.87,0.21,7.46,0.08,5.60,0.06
384.99,93.25,0.90,100.90,0.87,112.41,0.90,116.60,0.88,127.63,0.97,7.30,0.51,10.85,0.37,9.79,0.24,7.34,0.08,5.44,0.06
388.76,92.29,0.89,102.22,0.88,113.50,0.91,115.91,0.87,125.10,0.95,7.85,0.56,11.91,0.41,10.18,0.26,7.02,0.07,5.69,0.06
392.54,94.53,0.92,101.58,0.88,115.85,0.93,117.05,0.88,120.25,0.91,8.09,0.58,12.02,0.42,9.89,0.25,6.68,0.06,5.69,0.06
396.31,91.43,0.89,104.82,0.91,118.08,0.95,118.24,0.89,121.54,0.92,7.90,0.57,11.90,0.41,10.17,0.26,6.54,0.06,5.43,0.06
400.09,90.37,0.88,108.49,0.94,116.15,0.93,122.76,0.93,123.53,0.94,7.89,0.57,12.19,0.43,9.99,0.25,6.87,0.07,5.25,0.05
403.86,93.69,0.91,111.84,0.97,114.32,0.92,121.91,0.92,120.39,0.91,8.17,0.59,12.61,0.45,9.92,0.25,7.54,0.08,5.30,0.05
407.64,89.30,0.87,110.50,0.96,109.45,0.88,123.93,0.94,119.54,0.91,8.24,0.60,12.65,0.45,10.09,0.25,7.42,0.08,5.74,0.06
411.41,87.38,0.85,106.40,0.92,105.57,0.85,122.64,0.93,117.07,0.89,8.37,0.61,13.07,0.47,10.35,0.27,7.42,0.08,5.40,0.06
415.19,84.64,0.82,99.73,0.86,100.63,0.80,122.23,0.93,116.74,0.88,8.67,0.64,13.56,0.49,10.37,0.27,7.87,0.09,5.19,0.05
418.96,82.58,0.80,94.98,0.82,103.95,0.83,120.42,0.91,122.32,0.93,9.01,0.67,13.09,0.47,11.04,0.29,7.60,0.08,5.18,0.05
422.73,76.32,0.74,90.65,0.78,102.18,0.82,119.66,0.91,124.18,0.94,9.08,0.68,13.38,0.48,10.83,0.28,7.28,0.08,5.39,0.06
426.51,76.46,0.74,89.47,0.77,105.23,0.84,122.57,0.93,128.36,0.98,9.26,0.70,12.81,0.45,10.25,0.26,6.68,0.06,5.53,0.06
430.28,77.39,0.75,84.80,0.73,106.11,0.85,124.34,0.94,123.91,0.94,9.20,0.69,13.17,0.47,10.32,0.26,6.46,0.05,5.82,0.07
434.06,74.49,0.72,87.94,0.76,106.33,0.85,122.25,0.93,120.79,0.92,8.90,0.66,13.88,0.50,9.99,0.25,6.60,0.06,5.77,0.06
437.83,74.02,0.72,89.66,0.77,106.61,0.85,121.89,0.92,122.17,0.93,8.63,0.64,15.29,0.57,9.83,0.24,6.60,0.06,5.95,0.07
441.61,73.10,0.71,93.40,0.81,107.33,0.86,117.64,0.89,120.35,0.91,8.51,0.62,16.13,0.60,10.28,0.26,6.98,0.07,5.80,0.07
445.38,72.74,0.70,95.87,0.83,108.63,0.87,118.24,0.89,119.79,0.91,8.16,0.59,16.62,0.63,10.65,0.28,7.06,0.07,5.57,0.06
449.15,72.01,0.70,98.32,0.85,110.54,0.89,124.14,0.94,117.43,0.89,7.75,0.55,16.33,0.61,11.02,0.29,7.43,0.08,5.71,0.06
452.93,76.47,0.74,97.26,0.84,111.09,0.89,125.79,0.96,118.45,0.90,7.87,0.56,14.73,0.54,12.72,0.36,7.84,0.09,6.02,0.07
456.70,79.64,0.77,96.64,0.83,114.83,0.92,123.92,0.94,123.47,0.94,8.56,0.63,13.50,0.49,14.37,0.42,7.96,0.09,5.82,0.07
460.48,83.96,0.81,96.43,0.83,120.61,0.97,122.95,0.93,124.67,0.95,8.54,0.63,12.80,0.45,13.99,0.41,7.71,0.09,5.67,0.06
