,frame,avg. speed,movie,plating density,replicate,time (hr),density
193,10,1.1597182594849478,2500 cell A.avi,2500,A,10,127
194,20,1.3157901322359185,2500 cell A.avi,2500,A,20,109
195,30,1.5271054888081348,2500 cell A.avi,2500,A,30,97
196,40,1.0507981045008523,2500 cell A.avi,2500,A,40,89
197,50,0.9758292287955068,2500 cell A.avi,2500,A,50,109
198,60,1.3766766763032867,2500 cell A.avi,2500,A,60,130
199,70,0.7886950233851883,2500 cell A.avi,2500,A,70,132
200,80,0.9419558156497042,2500 cell A.avi,2500,A,80,155
201,90,0.8090982391117314,2500 cell A.avi,2500,A,90,173
202,100,1.208493796483532,2500 cell A.avi,2500,A,100,173
203,110,1.2465555840991722,2500 cell A.avi,2500,A,110,397
204,120,1.3514898339480779,2500 cell A.avi,2500,A,120,554
205,130,1.153860002511554,2500 cell A.avi,2500,A,130,493
206,140,0.9441362911068268,2500 cell A.avi,2500,A,140,585
207,150,0.8516918473148671,2500 cell A.avi,2500,A,150,733
208,0,1.167648444028578,2500 cell B.avi,2500,B,0,102
209,10,1.0210274669335981,2500 cell B.avi,2500,B,10,148
210,20,1.003355824700651,2500 cell B.avi,2500,B,20,106
211,30,1.2378841404098326,2500 cell B.avi,2500,B,30,97
212,40,1.5332179754008195,2500 cell B.avi,2500,B,40,97
213,50,1.015456224074892,2500 cell B.avi,2500,B,50,99
214,60,1.2345375416030042,2500 cell B.avi,2500,B,60,130
215,70,0.993060952967276,2500 cell B.avi,2500,B,70,106
216,80,0.8034737425124244,2500 cell B.avi,2500,B,80,116
217,90,0.7344157198564901,2500 cell B.avi,2500,B,90,122
218,100,0.8332796944078852,2500 cell B.avi,2500,B,100,104
219,110,1.0105789487365844,2500 cell B.avi,2500,B,110,234
220,120,1.0611022773057148,2500 cell B.avi,2500,B,120,250
221,130,1.0668927479013506,2500 cell B.avi,2500,B,130,261
222,140,1.1196384105286774,2500 cell B.avi,2500,B,140,533
223,150,0.8912982180265363,2500 cell B.avi,2500,B,150,1093
224,0,1.7554944440879745,2500 cell C.avi,2500,C,0,66
225,10,0.5662257162363916,2500 cell C.avi,2500,C,10,85
226,20,0.6234512854770781,2500 cell C.avi,2500,C,20,122
227,30,1.0021842605357982,2500 cell C.avi,2500,C,30,100
228,40,1.1136900042446172,2500 cell C.avi,2500,C,40,64
229,50,0.76266015529339,2500 cell C.avi,2500,C,50,99
230,60,1.019622947456633,2500 cell C.avi,2500,C,60,64
231,70,0.7903277990208555,2500 cell C.avi,2500,C,70,103
232,80,0.7517619044840077,2500 cell C.avi,2500,C,80,125
233,90,0.6702843630104017,2500 cell C.avi,2500,C,90,97
234,100,0.8878263548095239,2500 cell C.avi,2500,C,100,111
235,110,1.006413043335059,2500 cell C.avi,2500,C,110,172
236,120,0.9464948465536076,2500 cell C.avi,2500,C,120,200
237,130,1.2807226201657709,2500 cell C.avi,2500,C,130,225
238,140,1.173695166007748,2500 cell C.avi,2500,C,140,365
239,150,1.0005552793214707,2500 cell C.avi,2500,C,150,361
240,0,0.9590115360695132,40000 cells A.avi,40000,A,0,197
241,10,1.094166206512979,40000 cells A.avi,40000,A,10,172
242,20,1.0805783205771462,40000 cells A.avi,40000,A,20,175
243,30,1.4552007447955466,40000 cells A.avi,40000,A,30,221
244,40,1.2634334989725513,40000 cells A.avi,40000,A,40,196
245,50,1.2338059583124454,40000 cells A.avi,40000,A,50,317
246,60,1.4015428581117872,40000 cells A.avi,40000,A,60,346
247,70,0.9486046621504826,40000 cells A.avi,40000,A,70,587
248,80,1.0145000918683376,40000 cells A.avi,40000,A,80,637
249,90,0.8266437260558991,40000 cells A.avi,40000,A,90,650
250,100,0.643443953581846,40000 cells A.avi,40000,A,100,949
251,110,0.6125956835599585,40000 cells A.avi,40000,A,110,795
252,120,0.4223917797528978,40000 cells A.avi,40000,A,120,754
253,130,0.3786533804414596,40000 cells A.avi,40000,A,130,841
254,140,0.3544841211105538,40000 cells A.avi,40000,A,140,725
255,150,0.4096998289757788,40000 cells A.avi,40000,A,150,625
256,0,1.1796227917193531,40000 cells B.avi,40000,B,0,220
257,10,1.1234796890007186,40000 cells B.avi,40000,B,10,221
258,20,0.9938941891142518,40000 cells B.avi,40000,B,20,227
259,30,1.4153270424442663,40000 cells B.avi,40000,B,30,244
260,40,1.300817254923092,40000 cells B.avi,40000,B,40,271
261,50,1.181181802109681,40000 cells B.avi,40000,B,50,400
262,60,1.3995689898124604,40000 cells B.avi,40000,B,60,530
263,70,1.0956006203681332,40000 cells B.avi,40000,B,70,532
